COUNTIES INCLUDED IN 2025 LOCALITIES. (ALPHABETICALLY BY STATE AND LOCALITY NAME WITHIN STATE),,,,
,,,,
Medicare Adminstrative Contractor,Locality Number,State ,Fee Schedule Area ,Counties
14212,99,,REST OF STATE ,ALL OTHER COUNTIES 
,,,,
8202,1,MICHIGAN ,DETROIT,"MACOMB, OAKLAND, WASHTENAW AND WAYNE"
8202,99,,REST OF STATE ,ALL OTHER COUNTIES 
,,,,
6202,0,MINNESOTA ,STATEWIDE ,ALL COUNTIES 
,,,,
7302,0,MISSISSIPPI ,STATEWIDE ,ALL COUNTIES 
,,,,
5302,2,MISSOURI ,METROPOLITAN KANSAS CITY,"CLAY, JACKSON AND PLATTE"
5302,1,,METROPOLITAN ST. LOUIS,"JEFFERSON, ST. CHARLES, ST. LOUIS AND ST. LOUIS CITY"
5302,99,,REST OF STATE* ,ALL OTHER COUNTIES 
5302,99,,REST OF STATE*,ALL OTHER COUNTIES
,,,,
3202,1,MONTANA ,STATEWIDE ,ALL COUNTIES 
,,,,
5402,0,NEBRASKA ,STATEWIDE ,ALL COUNTIES 
,,,,
1312,0,NEVADA ,STATEWIDE ,ALL COUNTIES 
,,,,
14312,40,NEW HAMPSHIRE ,STATEWIDE ,ALL COUNTIES 
,,,,
12402,1,NEW JERSEY ,NORTHERN NJ ,"BERGEN, ESSEX, HUDSON, HUNTERDON, MIDDLESEX, MORRIS, PASSAIC, SOMERSET, SUSSEX, UNION AND WARREN"
12402,99,,REST OF STATE ,ALL OTHER COUNTIES 
,,,,
4212,5,NEW MEXICO ,STATEWIDE ,ALL COUNTIES 
,,,,
13202,1,NEW YORK ,MANHATTAN,NEW YORK 
13202,2,,NYC SUBURBS/LONG ISLAND,"BRONX, KINGS, NASSAU, RICHMOND, ROCKLAND, SUFFOLK AND WESTCHESTER"
13202,3, ,POUGHKPSIE/N NYC SUBURBS,"COLUMBIA, DELAWARE, DUTCHESS, GREENE, ORANGE, PUTNAM, SULLIVAN AND ULSTER"
13292,4,,QUEENS,QUEENS 
13282,99,,REST OF STATE ,ALL OTHER COUNTIES 
,,,,
11502,0,NORTH CAROLINA ,STATEWIDE ,ALL COUNTIES 
,,,,
3302,1,NORTH DAKOTA ,STATEWIDE ,ALL COUNTIES 
,,,,
15202,0,OHIO ,STATEWIDE ,ALL COUNTIES 
,,,,
4312,0,OKLAHOMA ,STATEWIDE ,ALL COUNTIES 
,,,,
2302,1,OREGON ,PORTLAND,"CLACKAMAS, MULTNOMAH AND WASHINGTON"
2302,99,,REST OF STATE ,ALL OTHER COUNTIES 
,,,,
12502,1,PENNSYLVANIA ,METROPOLITAN PHILADELPHIA,"BUCKS, CHESTER, DELAWARE, MONTGOMERY AND PHILADELPHIA"
12502,99,,REST OF STATE ,ALL OTHER COUNTIES 
,,,,
9202,20,PUERTO RICO ,PUERTO RICO,ALL COUNTY EQUIVALENTS
,,,,
14412,1,RHODE ISLAND ,STATEWIDE ,ALL COUNTIES 
,,,,
11202,1,SOUTH CAROLINA ,STATEWIDE ,ALL COUNTIES 
,,,,
3402,2,SOUTH DAKOTA ,STATEWIDE ,ALL COUNTIES 
,,,,
10312,35,TENNESSEE ,STATEWIDE ,ALL COUNTIES 
,,,,
4412,31,TEXAS ,AUSTIN,TRAVIS 
4412,20,,BEAUMONT,JEFFERSON 
4412,9,,BRAZORIA,BRAZORIA 
4412,11,,DALLAS,DALLAS 
4412,28,,FORT WORTH,TARRANT 
4412,15,,GALVESTON,GALVESTON 
4412,18,,HOUSTON,HARRIS 
4412,99,,REST OF STATE ,ALL OTHER COUNTIES 
,,,,
3502,9,UTAH ,STATEWIDE ,ALL COUNTIES 
,,,,
14512,50,VERMONT ,STATEWIDE ,ALL COUNTIES 
,,,,
9202,50,VIRGIN ISLANDS ,VIRGIN ISLANDS ,ALL COUNTY EQUIVALENTS
,,,,
11302,0,VIRGINIA,STATEWIDE,"ALL COUNTIES, EXCEPT ALEXANDRIA CITY, ARLINGTON, FAIRFAX, FAIRFAX CITY, AND FALLS CHURCH CITY"
,,,,
2402,2,WASHINGTON ,SEATTLE (KING CNTY),KING 
2402,99,,REST OF STATE ,ALL OTHER COUNTIES 
,,,,
11402,16,WEST VIRGINIA ,STATEWIDE ,ALL COUNTIES 
,,,,
6302,0,WISCONSIN ,STATEWIDE ,ALL COUNTIES 
,,,,
3602,21,WYOMING ,STATEWIDE ,ALL COUNTIES 
,,,,
,,,,
*  Payment locality is serviced by two carriers.,,,,
