code,code_system,paraphrased_desc,category,license_status,version_year
90734,CPT,Meningococcal conjugate vaccine serogroups A C W Y,Medicine,free,2025
90736,CPT,Zoster vaccine live,Medicine,free,2025
92004,CPT,Ophthalmological examination and evaluation comprehensive new patient,Medicine,free,2025
92012,CPT,Ophthalmological examination and evaluation comprehensive established patient,Medicine,free,2025
92014,CPT,Ophthalmological examination and evaluation comprehensive established patient one or more visits,Medicine,free,2025
93000,CPT,Electrocardiogram complete,Medicine,free,2025
93005,CPT,Electrocardiogram tracing only without interpretation,Medicine,free,2025
93306,CPT,Echocardiography transthoracic complete,Medicine,free,2025
94010,CPT,Spirometry including graphic record total and timed vital capacity,Medicine,free,2025
94060,CPT,Bronchodilation responsiveness spirometry pre and post,Medicine,free,2025
95810,CPT,Polysomnography sleep study,Medicine,free,2025
96372,CPT,Therapeutic injection subcutaneous or intramuscular,Medicine,free,2025
96374,CPT,Therapeutic injection intravenous push single or initial,Medicine,free,2025
96523,CPT,Irrigation of implanted venous access drug delivery system,Medicine,free,2025
97110,CPT,Therapeutic procedure therapeutic exercises,Medicine,free,2025
97140,CPT,Manual therapy techniques one or more regions,Medicine,free,2025
97530,CPT,Therapeutic activities direct patient contact,Medicine,free,2025
99000,CPT,Handling and conveyance of specimen for transfer,Medicine,free,2025
