code,code_system,paraphrased_desc,short_desc,category,license_status,version_year
E2,HCPCS,"Lower left, eyelid",Lower left eyelid,Equipment,free,2025
E3,HCPCS,"Upper right, eyelid",Upper right eyelid,Equipment,free,2025
E4,HCPCS,"Lower right, eyelid",Lower right eyelid,Equipment,free,2025
EA,HCPCS,Erythropoietic stimulating agent (esa) administered to treat anemia due to,"Esa, anemia, chemo-induced",Equipment,free,2025
EA,HCPCS,anti-cancer chemotherapy,,Equipment,free,2025
EB,HCPCS,Erythropoietic stimulating agent (esa) administered to treat anemia due to,"Esa, anemia, radio-induced",Equipment,free,2025
EB,HCPCS,anti-cancer radiotherapy,,Equipment,free,2025
EC,HCPCS,Erythropoietic stimulating agent (esa) administered to treat anemia not due to,"Esa, anemia, non-chemo/radio",Equipment,free,2025
EC,HCPCS,anti-cancer radiotherapy or anti-cancer chemotherapy,,Equipment,free,2025
ED,HCPCS,Hematocrit level has exceeded 39% (or hemoglobin level has exceeded 13.0 g/dl),Hct>39% or hgb>13g>=3 cycle,Equipment,free,2025
ED,HCPCS,for 3 or more consecutive billing cycles immediately prior to and including the,,Equipment,free,2025
ED,HCPCS,current cycle,,Equipment,free,2025
EE,HCPCS,Hematocrit level has not exceeded 39% (or hemoglobin level has not exceeded,Hct>39% or hgb>13g<3 cycle,Equipment,free,2025
EE,HCPCS,13.0 g/dl) for 3 or more consecutive billing cycles immediately prior to and,,Equipment,free,2025
EE,HCPCS,including the current cycle,,Equipment,free,2025
EJ,HCPCS,"Subsequent claims for a defined course of therapy, e.g., epo, sodium",Subsequent claim                                       4273.2,Equipment,free,2025
EJ,HCPCS,"hyaluronate, infliximab",,Equipment,free,2025
EM,HCPCS,Emergency reserve supply (for esrd benefit only),Emer reserve supply (esrd)                             3045.7,Equipment,free,2025
EP,HCPCS,Service provided as part of medicaid early periodic screening diagnosis and,Medicaid epsdt program svc,Equipment,free,2025
EP,HCPCS,treatment (epsdt) program,,Equipment,free,2025
ER,HCPCS,"Items and services furnished by a provider-based, off-campus emergency",Off-campus ed service,Equipment,free,2025
ER,HCPCS,department,,Equipment,free,2025
ET,HCPCS,Emergency services,Emergency services,Equipment,free,2025
EX,HCPCS,Expatriate beneficiary,Expatriate beneficiary,Equipment,free,2025
EY,HCPCS,No physician or other licensed health care provider order for this item or,No md order for item/service,Equipment,free,2025
EY,HCPCS,service,,Equipment,free,2025
F1,HCPCS,"Left hand, second digit","Left hand, second digit",Other,free,2025
F2,HCPCS,"Left hand, third digit","Left hand, third digit",Other,free,2025
F3,HCPCS,"Left hand, fourth digit","Left hand, fourth digit",Other,free,2025
F4,HCPCS,"Left hand, fifth digit","Left hand, fifth digit",Other,free,2025
F5,HCPCS,"Right hand, thumb","Right hand, thumb",Other,free,2025
F6,HCPCS,"Right hand, second digit","Right hand, second digit",Other,free,2025
F7,HCPCS,"Right hand, third digit","Right hand, third digit",Other,free,2025
F8,HCPCS,"Right hand, fourth digit","Right hand, fourth digit",Other,free,2025
F9,HCPCS,"Right hand, fifth digit","Right hand, fifth digit",Other,free,2025
FA,HCPCS,"Left hand, thumb","Left hand, thumb",Other,free,2025
FB,HCPCS,"Item provided without cost to provider, supplier or practitioner, or full",Item provided without cost,Other,free,2025
FB,HCPCS,"credit received for replaced device (examples, but not limited to, covered",,Other,free,2025
FB,HCPCS,"under warranty, replaced due to defect, free samples)",,Other,free,2025
FC,HCPCS,Partial credit received for replaced device,"Part credit, replaced device",Other,free,2025
FP,HCPCS,Service provided as part of family planning program,Svc part of family plan pgm,Other,free,2025
FQ,HCPCS,The service was furnished using audio-only communication technology,Audio-only service,Other,free,2025
FR,HCPCS,"The supervising practitioner was present through two-way, audio/video",Two-way a/v dir supervision,Other,free,2025
FR,HCPCS,communication technology,,Other,free,2025
FS,HCPCS,Split (or shared) evaluation and management visit,Split or shared e/m visit,Other,free,2025
FT,HCPCS,Unrelated evaluation and management (e/m) visit on the same day as another e/m,"Separate, unrelated e/m",Other,free,2025
FT,HCPCS,"visit or during a global procedure (preoperative, postoperative period, or on",,Other,free,2025
FT,HCPCS,"the same day as the procedure, as applicable). (report when an e/m visit is",,Other,free,2025
FT,HCPCS,"furnished within the global period but is unrelated, or when one or more",,Other,free,2025
FT,HCPCS,additional e/m visits furnished on the same day are unrelated),,Other,free,2025
FX,HCPCS,X-ray taken using film,X-ray taken using film,Other,free,2025
FY,HCPCS,X-ray taken using computed radiography technology/cassette-based imaging,Computed radiography x-ray,Other,free,2025
G0,HCPCS,"Telehealth services for diagnosis, evaluation, or treatment, of symptoms of an",Telestroke,Services,free,2025
G0,HCPCS,acute stroke,,Services,free,2025
G1,HCPCS,Most recent urr reading of less than 60,Urr reading of less than 60,Services,free,2025
G2,HCPCS,Most recent urr reading of 60 to 64.9,Urr reading of 60 to 64.9,Services,free,2025
G3,HCPCS,Most recent urr reading of 65 to 69.9,Urr  reading of 65 to 69.9,Services,free,2025
G4,HCPCS,Most recent urr reading of 70 to 74.9,Urr reading of 70 to 74.9,Services,free,2025
G5,HCPCS,Most recent urr reading of 75 or greater,Urr reading of 75 or greater,Services,free,2025
G6,HCPCS,Esrd patient for whom less than six dialysis sessions have been provided in a,Esrd patient <6 dialysis/mth,Services,free,2025
G6,HCPCS,month,,Services,free,2025
G7,HCPCS,Pregnancy resulted from rape or incest or pregnancy certified by physician as,Payment limits do not apply          35-99             2005.1,Services,free,2025
G7,HCPCS,life threatening,,Services,free,2025
G8,HCPCS,"Monitored anesthesia care (mac) for deep complex, complicated, or markedly",Monitored anesthesia care,Services,free,2025
G8,HCPCS,invasive surgical procedure,,Services,free,2025
G9,HCPCS,Monitored anesthesia care for patient who has history of severe,Mac for at risk patient,Services,free,2025
G9,HCPCS,cardio-pulmonary condition,,Services,free,2025
GA,HCPCS,"Waiver of liability statement issued as required by payer policy, individual",Liability waiver ind case,Services,free,2025
GA,HCPCS,case,,Services,free,2025
GB,HCPCS,Claim being re-submitted for payment because it is no longer covered under a,Claim resubmitted,Services,free,2025
GB,HCPCS,global payment demonstration,,Services,free,2025
GC,HCPCS,This service has been performed in part by a resident under the direction of a,Resident/teaching phys serv                            3350.5  4116,Services,free,2025
GC,HCPCS,teaching physician,,Services,free,2025
GD,HCPCS,Units of service exceeds medically unlikely edit value and represents,Unit of service > mue value,Services,free,2025
GD,HCPCS,reasonable and necessary services,,Services,free,2025
GE,HCPCS,This service has been performed by a resident without the presence of a,Resident prim care exception                           4116,Services,free,2025
GE,HCPCS,teaching physician under the primary care exception,,Services,free,2025
GF,HCPCS,"Non-physician (e.g. nurse practitioner (np), certified registered nurse",Nonphysician serv c a hosp,Services,free,2025
GF,HCPCS,"anesthetist (crna), certified registered nurse (crn), clinical nurse specialist",,Services,free,2025
GF,HCPCS,"(cns), physician assistant (pa)) services in a critical access hospital",,Services,free,2025
GG,HCPCS,Performance and payment of a screening mammogram and diagnostic mammogram on,Payment screen mam + diagmam,Services,free,2025
GG,HCPCS,"the same patient, same day",,Services,free,2025
GH,HCPCS,Diagnostic mammogram converted from screening mammogram on same day,Diag mammo to screening mamo,Services,free,2025
GJ,HCPCS,"""opt out"" physician or practitioner emergency or urgent service",Opt out provider of er srvc,Services,free,2025
GK,HCPCS,Reasonable and necessary item/service associated with a ga or gz modifier,Actual item/service ordered,Services,free,2025
GL,HCPCS,"Medically unnecessary upgrade provided instead of non-upgraded item, no charge,","Upgraded item, no charge",Services,free,2025
GL,HCPCS,no advance beneficiary notice (abn),,Services,free,2025
GM,HCPCS,Multiple patients on one ambulance trip,Multiple transports,Services,free,2025
GN,HCPCS,Services delivered under an outpatient speech language pathology plan of care,Op speech language service,Services,free,2025
GO,HCPCS,Services delivered under an outpatient occupational therapy plan of care,Op occupational therapy serv,Services,free,2025
GP,HCPCS,Services delivered under an outpatient physical therapy plan of care,Op pt services,Services,free,2025
GQ,HCPCS,Via asynchronous telecommunications system,Telehealth store and forward,Services,free,2025
GR,HCPCS,This service was performed in whole or in part by a resident in a department of,Service by va resident,Services,free,2025
GR,HCPCS,"veterans affairs medical center or clinic, supervised in accordance with va",,Services,free,2025
GR,HCPCS,policy,,Services,free,2025
GS,HCPCS,Dosage of erythropoietin stimulating agent has been reduced and maintained in,Epo/darbepoietin reduced 25%                           4273.1,Services,free,2025
GS,HCPCS,response to hematocrit or hemoglobin level,,Services,free,2025
GT,HCPCS,Via interactive audio and video telecommunication systems,Interactivetelecommunication,Services,free,2025
GU,HCPCS,"Waiver of liability statement issued as required by payer policy, routine notice",Liability waiver rout notice,Services,free,2025
GV,HCPCS,Attending physician not employed or paid under arrangement by the patient's,Attending phys not hospice                             4175-5,Services,free,2025
GV,HCPCS,hospice provider,,Services,free,2025
GW,HCPCS,Service not related to the hospice patient's terminal condition,Service unrelated to term co                           4175-5,Services,free,2025
GX,HCPCS,"Notice of liability issued, voluntary under payer policy",Voluntary liability notice,Services,free,2025
GY,HCPCS,"Item or service statutorily excluded, does not meet the definition of any",Statutorily excluded,Services,free,2025
GY,HCPCS,"medicare benefit or, for non-medicare insurers, is not a contract benefit",,Services,free,2025
GZ,HCPCS,Item or service expected to be denied as not reasonable and necessary,Not reasonable and necessary                           2000,Services,free,2025
H9,HCPCS,Court-ordered,Court-ordered,Substance Abuse,free,2025
HA,HCPCS,Child/adolescent program,Child/adolescent program,Substance Abuse,free,2025
HB,HCPCS,"Adult program, non geriatric",Adult program non-geriatric,Substance Abuse,free,2025
HC,HCPCS,"Adult program, geriatric",Adult program geriatric,Substance Abuse,free,2025
HD,HCPCS,Pregnant/parenting women's program,Pregnant/parenting program,Substance Abuse,free,2025
HE,HCPCS,Mental health program,Mental health program,Substance Abuse,free,2025
HF,HCPCS,Substance abuse program,Substance abuse program,Substance Abuse,free,2025
HG,HCPCS,Opioid addiction treatment program,Opioid addiction tx program,Substance Abuse,free,2025
HH,HCPCS,Integrated mental health/substance abuse program,Mental hlth/substance abs pr,Substance Abuse,free,2025
HI,HCPCS,Integrated mental health and intellectual disability/developmental disabilities,Men hlth intel/dev disab pgm,Substance Abuse,free,2025
HI,HCPCS,program,,Substance Abuse,free,2025
HJ,HCPCS,Employee assistance program,Employee assistance program,Substance Abuse,free,2025
HK,HCPCS,Specialized mental health programs for high-risk populations,Spec hgh rsk mntl hlth pop p,Substance Abuse,free,2025
HL,HCPCS,Intern,Intern,Substance Abuse,free,2025
HM,HCPCS,Less than bachelor degree level,Less than bachelor degree lv,Substance Abuse,free,2025
HN,HCPCS,Bachelors degree level,Bachelors degree level,Substance Abuse,free,2025
HO,HCPCS,Masters degree level,Masters degree level,Substance Abuse,free,2025
HP,HCPCS,Doctoral level,Doctoral level,Substance Abuse,free,2025
HQ,HCPCS,Group setting,Group setting,Substance Abuse,free,2025
HR,HCPCS,Family/couple with client present,Family/couple w client prsnt,Substance Abuse,free,2025
HS,HCPCS,Family/couple without client present,Family/couple w/o client prs,Substance Abuse,free,2025
HT,HCPCS,Multi-disciplinary team,Multi-disciplinary team,Substance Abuse,free,2025
HU,HCPCS,Funded by child welfare agency,Child welfare agency funded,Substance Abuse,free,2025
HV,HCPCS,Funded state addictions agency,Funded state addiction agncy,Substance Abuse,free,2025
HW,HCPCS,Funded by state mental health agency,State mntl hlth agncy funded,Substance Abuse,free,2025
HX,HCPCS,Funded by county/local agency,County/local agency funded,Substance Abuse,free,2025
HY,HCPCS,Funded by juvenile justice agency,Funded by juvenile justice,Substance Abuse,free,2025
HZ,HCPCS,Funded by criminal justice agency,Criminal justice agncy fund,Substance Abuse,free,2025
J1,HCPCS,Competitive acquisition program no-pay submission for a prescription number,Cap no-pay for prescript num,Drugs,free,2025
J2,HCPCS,"Competitive acquisition program, restocking of emergency drugs after emergency",Cap restock of emerg drugs,Drugs,free,2025
J2,HCPCS,administration,,Drugs,free,2025
J3,HCPCS,"Competitive acquisition program (cap), drug not available through cap as",Cap drug unavail thru cap,Drugs,free,2025
J3,HCPCS,"written, reimbursed under average sales price methodology",,Drugs,free,2025
J4,HCPCS,Dmepos item subject to dmepos competitive bidding program that is furnished by,Dmepos comp bid furn by hosp,Drugs,free,2025
J4,HCPCS,a hospital upon discharge,,Drugs,free,2025
J5,HCPCS,Off-the-shelf orthotic subject to dmepos competitive bidding program that is,Dmepos comp bid fur by pt/ot,Drugs,free,2025
J5,HCPCS,furnished as part of a physical therapist or occupational therapist,,Drugs,free,2025
J5,HCPCS,professional service,,Drugs,free,2025
JA,HCPCS,Administered intravenously,Administered intravenously,Drugs,free,2025
JB,HCPCS,Administered subcutaneously,Administered subcutaneously,Drugs,free,2025
JC,HCPCS,Skin substitute used as a graft,Skin substitute graft,Drugs,free,2025
JD,HCPCS,Skin substitute not used as a graft,Skin sub not used as a graft,Drugs,free,2025
JE,HCPCS,Administered via dialysate,Administered via dialysate,Drugs,free,2025
JF,HCPCS,Compounded drug,Compounded drug,Drugs,free,2025
JG,HCPCS,"Drug or biological acquired with 340b drug pricing program discount, reported",340b acquired drug,Drugs,free,2025
JG,HCPCS,for informational purposes,,Drugs,free,2025
JK,HCPCS,One month supply or less of drug or biological,Drug supply 1 month or less,Drugs,free,2025
JL,HCPCS,Three month supply of drug or biological,Drug 3 month supply,Drugs,free,2025
JW,HCPCS,Drug amount discarded/not administered to any patient,Discarded drug not administe,Drugs,free,2025
JZ,HCPCS,Zero drug amount discarded/not administered to any patient,Zero drug wasted,Drugs,free,2025
K0,HCPCS,Lower extremity prosthesis functional level 0 - does not have the ability or,Lwr ext prost functnl lvl 0,Temporary,free,2025
K0,HCPCS,potential to ambulate or transfer safely with or without assistance and a,,Temporary,free,2025
K0,HCPCS,prosthesis does not enhance their quality of life or mobility.,,Temporary,free,2025
K1,HCPCS,Lower extremity prosthesis functional level 1 - has the ability or potential to,Lwr ext prost functnl lvl 1,Temporary,free,2025
K1,HCPCS,use a prosthesis for transfers or ambulation on level surfaces at fixed,,Temporary,free,2025
K1,HCPCS,cadence. typical of the limited and unlimited household ambulator.,,Temporary,free,2025
K2,HCPCS,Lower extremity prosthesis functional level 2 - has the ability or potential,Lwr ext prost functnl lvl 2,Temporary,free,2025
K2,HCPCS,for ambulation with the ability to traverse low level environmental barriers,,Temporary,free,2025
K2,HCPCS,"such as curbs, stairs or uneven surfaces.  typical of the limited community",,Temporary,free,2025
K2,HCPCS,ambulator.,,Temporary,free,2025
K3,HCPCS,Lower extremity prosthesis functional level 3 - has the ability or potential,Lwr ext prost functnl lvl 3,Temporary,free,2025
K3,HCPCS,for ambulation with variable cadence.  typical of the community ambulator who,,Temporary,free,2025
K3,HCPCS,has the ability to transverse most environmental barriers and may have,,Temporary,free,2025
K3,HCPCS,"vocational, therapeutic, or exercise activity that demands prosthetic",,Temporary,free,2025
K3,HCPCS,utilization beyond simple locomotion.,,Temporary,free,2025
K4,HCPCS,Lower extremity prosthesis functional level 4 - has the ability or potential,Lwr ext prost functnl lvl 4,Temporary,free,2025
K4,HCPCS,"for prosthetic ambulation that exceeds the basic ambulation skills, exhibiting",,Temporary,free,2025
K4,HCPCS,"high impact, stress, or energy levels, typical of the prosthetic demands of the",,Temporary,free,2025
K4,HCPCS,"child, active adult, or athlete.",,Temporary,free,2025
KA,HCPCS,Add on option/accessory for wheelchair,Wheelchair add-on option/acc,Temporary,free,2025
KB,HCPCS,"Beneficiary requested upgrade for abn, more than 4 modifiers identified on claim",>4 modifiers on claim,Temporary,free,2025
KC,HCPCS,Replacement of special power wheelchair interface,Repl special pwr wc intrface,Temporary,free,2025
KD,HCPCS,Drug or biological infused through dme,Drug/biological dme infused,Temporary,free,2025
KE,HCPCS,Bid under round one of the dmepos competitive bidding program for use with,Bid under round 1 dmepos cb,Temporary,free,2025
KE,HCPCS,non-competitive bid base equipment,,Temporary,free,2025
KF,HCPCS,Item designated by fda as class iii device,Fda class iii device,Temporary,free,2025
KG,HCPCS,Dmepos item subject to dmepos competitive bidding program number 1,Dmepos comp bid prgm no 1,Temporary,free,2025
KH,HCPCS,"Dmepos item, initial claim, purchase or first month rental","Dmepos ini clm, pur/1 mo rnt",Temporary,free,2025
KI,HCPCS,"Dmepos item, second or third month rental",Dmepos 2nd or 3rd mo rental,Temporary,free,2025
KJ,HCPCS,"Dmepos item, parenteral enteral nutrition (pen) pump or capped rental, months",Dmepos pen pmp or 4-15mo rnt,Temporary,free,2025
KJ,HCPCS,four to fifteen,,Temporary,free,2025
KK,HCPCS,Dmepos item subject to dmepos competitive bidding program number 2,Dmepos comp bid prgm no 2,Temporary,free,2025
KL,HCPCS,Dmepos item delivered via mail,Dmepos mailorder comp bid,Temporary,free,2025
KM,HCPCS,Replacement of facial prosthesis including new impression/moulage,Rplc facial prosth new imp,Temporary,free,2025
KN,HCPCS,Replacement of facial prosthesis using previous master model,Rplc facial prosth old mod,Temporary,free,2025
KO,HCPCS,Single drug unit dose formulation,Single drug unit dose form,Temporary,free,2025
KP,HCPCS,First drug of a multiple drug unit dose formulation,First drug of multi drug u d,Temporary,free,2025
KQ,HCPCS,Second or subsequent drug of a multiple drug unit dose formulation,2nd/subsqnt drg multi drg ud,Temporary,free,2025
KR,HCPCS,"Rental item, billing for partial month",Rental item partial month,Temporary,free,2025
KS,HCPCS,Glucose monitor supply for diabetic beneficiary not treated with insulin,Glucose monitor supply,Temporary,free,2025
KT,HCPCS,Beneficiary resides in a competitive bidding area and travels outside that,Item from noncontract supply,Temporary,free,2025
KT,HCPCS,competitive bidding area and receives a competitive bid item,,Temporary,free,2025
KU,HCPCS,Dmepos item subject to dmepos competitive bidding program number 3,Dmepos comp bid prgm no 3,Temporary,free,2025
KV,HCPCS,Dmepos item subject to dmepos competitive bidding program that is furnished as,"Dmepos item, profession serv",Temporary,free,2025
KV,HCPCS,part of a professional service,,Temporary,free,2025
KW,HCPCS,Dmepos item subject to dmepos competitive bidding program number 4,Dmepos comp bid prgm no 4,Temporary,free,2025
KX,HCPCS,Requirements specified in the medical policy have been met,Documentation on file,Temporary,free,2025
KY,HCPCS,Dmepos item subject to dmepos competitive bidding program number 5,Dmepos comp bid prgm no 5,Temporary,free,2025
KZ,HCPCS,New coverage not implemented by managed care,New cov not implement by m+c,Temporary,free,2025
L1,HCPCS,Provider attestation that the hospital laboratory test(s) is not packaged under,Separately payable lab test,Orthotics/Prosthetics,free,2025
L1,HCPCS,the hospital opps,,Orthotics/Prosthetics,free,2025
LC,HCPCS,Left circumflex coronary artery,Lft circum coronary artery,Orthotics/Prosthetics,free,2025
LD,HCPCS,Left anterior descending coronary artery,Left ant des coronary artery,Orthotics/Prosthetics,free,2025
LL,HCPCS,Lease/rental (use the 'll' modifier when dme equipment rental is to be applied,Lease/rental (appld to pur),Orthotics/Prosthetics,free,2025
LL,HCPCS,against the purchase price),,Orthotics/Prosthetics,free,2025
LM,HCPCS,Left main coronary artery,Left main coronary artery,Orthotics/Prosthetics,free,2025
LR,HCPCS,Laboratory round trip,Laboratory round trip,Orthotics/Prosthetics,free,2025
LS,HCPCS,Fda-monitored intraocular lens implant,Fda-monitored iol implant            65-7,Orthotics/Prosthetics,free,2025
LT,HCPCS,Left side (used to identify procedures performed on the left side of the body),Left side,Orthotics/Prosthetics,free,2025
LU,HCPCS,Fractionated payment,Fractionated payment,Orthotics/Prosthetics,free,2025
